
=== frontend/src/legacy/legacyApp.ts ===
Locales: en, es, pt, fr, de, it, nl, tr, pl, id, ru, uk, hi, ja, zh
- en: coverage 339/339, inherited_from_en 339
- es: coverage 339/339, inherited_from_en 135
- pt: coverage 339/339, inherited_from_en 140
- fr: coverage 339/339, inherited_from_en 137
- de: coverage 339/339, inherited_from_en 138
- it: coverage 339/339, inherited_from_en 111
- nl: coverage 339/339, inherited_from_en 123
- tr: coverage 339/339, inherited_from_en 113
- pl: coverage 339/339, inherited_from_en 114
- id: coverage 339/339, inherited_from_en 114
- ru: coverage 339/339, inherited_from_en 38
- uk: coverage 339/339, inherited_from_en 96
- hi: coverage 339/339, inherited_from_en 245
- ja: coverage 339/339, inherited_from_en 240
- zh: coverage 339/339, inherited_from_en 240

=== public/app.js ===
Locales: en, es, pt, fr, de, it, nl, tr, pl, id, ru, uk, hi, ja, zh
- en: coverage 330/330, inherited_from_en 330
- es: coverage 330/330, inherited_from_en 177
- pt: coverage 330/330, inherited_from_en 177
- fr: coverage 330/330, inherited_from_en 178
- de: coverage 330/330, inherited_from_en 181
- it: coverage 330/330, inherited_from_en 154
- nl: coverage 330/330, inherited_from_en 164
- tr: coverage 330/330, inherited_from_en 155
- pl: coverage 330/330, inherited_from_en 156
- id: coverage 330/330, inherited_from_en 157
- ru: coverage 330/330, inherited_from_en 38
- uk: coverage 330/330, inherited_from_en 122
- hi: coverage 330/330, inherited_from_en 223
- ja: coverage 330/330, inherited_from_en 218
- zh: coverage 330/330, inherited_from_en 218

OK: no structural i18n issues. Use --strict-text to fail on inherited EN fallbacks.
