GMXReply i18n sync report
Updated: 2026-05-30T12:46:59.345Z
Locales: en, de, fr, es, pt, it, nl, tr, pl, id, ru, uk, hi, ja, zh

en: copied-from-en=6, identical-to-en=384/384 (100%)
de: copied-from-en=6, identical-to-en=127/384 (33%)
fr: copied-from-en=6, identical-to-en=126/384 (33%)
es: copied-from-en=6, identical-to-en=126/384 (33%)
pt: copied-from-en=6, identical-to-en=127/384 (33%)
it: copied-from-en=6, identical-to-en=108/384 (28%)
nl: copied-from-en=6, identical-to-en=115/384 (30%)
tr: copied-from-en=6, identical-to-en=110/384 (29%)
pl: copied-from-en=6, identical-to-en=113/384 (29%)
id: copied-from-en=6, identical-to-en=113/384 (29%)
ru: copied-from-en=6, identical-to-en=52/384 (14%)
uk: copied-from-en=6, identical-to-en=90/384 (23%)
hi: copied-from-en=6, identical-to-en=143/384 (37%)
ja: copied-from-en=6, identical-to-en=143/384 (37%)
zh: copied-from-en=6, identical-to-en=143/384 (37%)
